,type,title,release_year,rating,duration,is_adult,polarity,subjectivity,continent
3513,Movie,Friday the 13th,2009,7.5,97,0,0.08333333333333333,0.08333333333333333,North America
3514,Movie,Garfield Gets Real,2007,4.3,78,0,0.04545454545454545,0.26666666666666666,Unknown
3515,Movie,Garfield's Fun Fest,2008,4.2,79,0,0.2333333333333333,0.6333333333333333,North America
3516,Movie,Garfield's Pet Force,2009,4.1,78,0,-0.25,0.75,Asia
3517,Movie,Ghost Rider,2007,6.8,110,0,0.06666666666666665,0.6,North America
3518,Movie,Ghost Stories,2020,8.1,145,0,0.0,0.0,Asia
3519,Movie,Godzilla,1998,8.8,139,0,-0.2,0.0,North America
3520,Movie,Hairspray,2007,6.7,116,0,0.049999999999999996,0.3833333333333333,North America
3521,Movie,Harold & Kumar Go to White Castle,2004,7.0,88,0,0.05,0.2,North America
3522,Movie,Hitch,2005,7.2,118,0,0.49000000000000005,0.6666666666666667,North America
3523,Movie,Hunt to Kill,2010,5.1,97,0,-0.5333333333333333,0.7999999999999999,North America
3524,Movie,Inception,2010,9.4,148,0,0.0,0.55,North America
3525,Movie,Instructions Not Included,2013,7.9,122,0,-0.13333333333333333,0.5,North America
3526,Movie,Jeff Dunham: Unhinged in Hollywood,2015,6.7,71,0,0.0,0.1,North America
3527,Movie,Jimmy Neutron: Boy Genius,2001,7.3,83,0,-0.2,0.3,North America
3528,Movie,Julie & Julia,2009,7.0,123,0,0.16666666666666666,0.16666666666666666,North America
3529,Movie,Kate & Leopold,2001,6.4,118,0,0.35,0.5,North America
3530,Movie,Kill Bill: Vol. 1,2003,8.2,111,0,-0.5625,0.6875,North America
3531,Movie,Kill Bill: Vol. 2,2004,8.0,137,0,0.0,0.0,North America
3532,Movie,Kingpin,1996,7.9,114,0,-0.09999999999999999,0.06666666666666667,North America
3533,Movie,Kiss the Girls,1997,6.6,116,0,-0.1152777777777778,0.16944444444444445,North America
3534,Movie,La Bamba,1987,6.9,109,0,0.19999999999999998,0.6,North America
3535,Movie,Legend of the Guardians: The Owls of Ga'Hoole,2010,7.0,97,0,0.25,0.5,North America
3536,TV Show,Live Up To Your Name,2017,8.0,1,0,-0.0875,0.1875,Unknown
3538,Movie,Magnolia,1999,6.9,189,0,-0.06875,0.20625,North America
3539,Movie,Mandi,1983,7.5,155,0,0.5,0.6,Asia
3540,Movie,Mansfield Park,1999,7.4,112,0,0.07878787878787878,0.7000000000000001,Europe
3541,TV Show,Messiah,2020,8.4,1,0,0.05833333333333333,0.47222222222222227,North America
3542,Movie,Monster-in-Law,2005,8.2,101,0,0.39285714285714285,0.7678571428571428,North America
3543,Movie,Moon,2009,7.6,97,0,-0.3166666666666667,0.6166666666666666,Europe
3544,Movie,My Girl,1991,7.6,102,0,0.2916666666666667,0.8,North America
3545,Movie,New York Minute,2004,7.7,91,0,-0.15000000000000002,0.1875,North America
3547,Movie,Pan's Labyrinth,2006,7.0,119,0,0.175,0.3666666666666667,North America
3548,Movie,Paranormal Activity,2007,8.0,86,0,0.1,0.1,North America
3549,Movie,Patriot Games,1992,7.7,117,0,0.0,0.0,North America
3552,TV Show,Reply 1988,2015,9.2,1,0,-0.21000000000000002,0.4,Unknown
3553,Movie,Resident Evil: Afterlife,2010,5.8,97,0,-0.2,0.4,Europe
3554,Movie,Riot,2015,5.6,88,0,0.0,0.0,North America
3555,Movie,Road Trip: Beer Pong,2009,4.8,97,0,-1.0,1.0,North America
3556,TV Show,Save Me,2017,8.0,1,0,0.15,0.4125,Unknown
3557,Movie,Scary Movie,2000,7.6,88,0,-0.03333333333333333,0.08888888888888889,North America
3558,Movie,Seal Team Six: The Raid on Osama Bin Laden,2012,5.7,90,0,-0.2740740740740741,0.7444444444444445,North America
3559,Movie,Siren,2016,4.8,83,0,-0.3166666666666667,0.7333333333333334,North America
3560,Movie,Sliver,1993,5.0,107,0,-0.125,0.375,North America
3561,Movie,Snow Day,2000,7.7,89,0,0.2135042735042735,0.4716239316239316,North America
3562,TV Show,Spinning Out,2020,7.6,1,0,0.225,0.5125,Unknown
3563,Movie,Strictly Ballroom,1992,7.7,95,0,0.09971590909090908,0.5386363636363636,Oceania
3564,Movie,Stuart Little,1999,6.8,85,0,0.10416666666666667,0.6666666666666666,Europe
3565,Movie,Stuart Little 2,2002,5.6,78,0,0.25,0.3,North America
3566,Movie,Sweeney Todd: The Demon Barber of Fleet Street,2007,8.1,116,0,-0.4000000000000001,0.6,North America
3567,Movie,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,6.0,88,0,-0.8,0.95,North America
3569,Movie,Terminator 3: Rise of the Machines,2003,6.0,109,0,-0.05,0.1,North America
3570,Movie,Terminator Salvation,2009,7.8,115,0,0.0,0.0,North America
3571,Movie,The Amityville Horror,2005,7.3,89,0,-0.20454545454545456,0.5681818181818182,North America
3572,TV Show,The Bride of Habaek,2017,6.9,1,0,0.0,0.1,Unknown
3573,TV Show,The Circle,2020,7.3,1,0,0.03333333333333333,0.06666666666666667,Unknown
3574,Movie,The Craft,1996,6.8,101,0,0.04545454545454545,0.18484848484848485,North America
3575,Movie,The Crying Game,1992,7.6,112,0,0.25,0.3,Europe
3576,Movie,The Dukes of Hazzard,2005,5.3,104,0,0.0,0.05,North America
3577,Movie,The Dukes of Hazzard: The Beginning,2007,4.4,95,0,0.36818181818181817,0.7,North America
3578,Movie,The Final Destination,2009,9.5,82,0,0.1625,0.6125,North America
3579,Movie,The Invention of Lying,2009,6.3,99,0,0.35,0.65,North America
3580,Movie,The Lord of the Rings: The Return of the King,2003,8.3,201,0,-0.2625,0.3875,Oceania
3581,Movie,The Lord of the Rings: The Two Towers,2002,6.5,179,0,-0.2,0.0,Oceania
3582,Movie,The Mask of Zorro,1998,7.1,138,0,0.05,0.25,North America
3584,Movie,The Naked Gun: From the Files of Police Squad!,1988,7.6,85,0,0.022222222222222216,0.5555555555555556,North America
3585,Movie,The Natural,1984,8.1,138,0,-0.1,0.475,North America
3586,Movie,The Original Kings of Comedy,2000,6.7,111,0,0.0,0.06666666666666667,North America
3587,Movie,The Peacemaker,1997,7.5,124,0,0.35714285714285715,0.5714285714285714,North America
3588,Movie,The Ring,2002,7.3,116,0,0.6,1.0,North America
3589,Movie,The Talented Mr. Ripley,1999,7.4,139,0,0.3,0.5666666666666668,North America
3590,Movie,Tremors,1990,5.0,96,0,0.2,1.0,North America
3592,Movie,Tremors 3: Back to Perfection,2001,5.3,104,0,0.10000000000000002,0.5666666666666668,North America
3593,Movie,Tremors 4: The Legend Begins,2004,5.3,101,0,0.19999999999999998,0.75,North America
3595,Movie,True Grit,1969,7.5,128,0,-0.07777777777777779,0.14444444444444446,North America
3596,Movie,Up in the Air,2009,6.8,110,0,0.0,0.25,North America
3597,Movie,What Lies Beneath,2000,7.5,130,0,-0.1,0.4,North America
3598,Movie,Wild Wild West,1999,8.0,106,0,0.3361111111111111,0.5722222222222222,North America
3599,Movie,Willy Wonka & the Chocolate Factory,1971,7.7,100,0,-0.0888888888888889,0.5111111111111111,North America
3600,Movie,Wyatt Earp,1994,7.5,191,0,0.75,0.75,North America
